ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,category_id
2024-03-25,302.6097599822926,0.0,614.6852490644437,358.2557454746894,-0.11472482957697508,0.05417928860182423,23
2024-04-04,146.08389816424932,0.0,451.1667584130035,358.1538327801104,0.0271755659995945,-0.5191180228854267,23
2024-04-06,149.734378750506,0.0,448.3261150657307,358.1334502411946,-0.09876003067858037,-0.5122912822131248,23
2024-04-09,195.00102482032338,0.0,476.17740535326436,358.10287643282095,0.022282717873072618,-0.4012217938791669,23
2024-04-12,328.4759809505211,23.978075519025005,624.6538862437974,358.07230262433137,0.16011216472129478,-0.18316683685676197,23
2024-04-17,406.48745736810093,138.92275214360984,730.3903613124065,358.0213462768488,-0.12289882102196807,0.31703200242089064,23
2024-04-22,582.4525317849182,278.48434433547567,871.6638502042176,357.9703899293662,-0.1147248295774327,0.7865893393884323,23
2024-04-28,803.5821120430363,506.29495867646034,1110.5834932083028,357.9092423121508,0.12681323268321554,1.0347595097313482,23
2024-05-05,709.6009106480591,438.7998813775624,1007.6009838614732,357.8379034253994,0.12681323268325806,0.8038631938033257,23
2024-05-07,583.5022650411502,287.711379388628,887.6333636145006,357.8175208863876,0.022282717873905185,0.6740611193581107,23
2024-05-15,358.5968235450801,79.87083823509363,652.3310424087732,357.7359907303405,-0.12289882102182383,0.19186885996237507,23
2024-05-16,400.96935360590356,103.63968065025385,695.6732607661102,357.72579946083465,0.027175565998788887,0.15352594241054354,23
2024-05-20,321.1684313750882,15.325622073369775,635.0792546885364,357.6850343828091,-0.11472482957709801,0.06543734890837369,23
2024-06-08,311.94166214418703,7.386474891230863,594.0996847821506,357.4914002621876,-0.09876003067828777,-0.08340475276761494,23
2024-06-10,206.63587926777183,0.0,512.5042911526967,357.4710177231748,-0.11472482957713562,-0.15505128238822077,23
2024-06-16,312.0055724039558,21.10812402081133,615.957238987294,357.4098701061169,0.1268132326833975,-0.34189760315411555,23
2024-06-17,179.85281391194286,0.0,473.00013329449735,357.3996788366072,-0.1147248295770878,-0.35968100511327766,23
2024-06-18,219.36684101745067,0.0,510.6670229017908,357.3894875670976,0.022282717873626436,-0.3717965250284763,23
2024-06-28,338.9828044931491,42.17969319302574,639.027396538967,357.2875748716533,0.1601121647208999,-0.174848012652265,23
2024-07-15,301.6382587766065,9.817991767035686,571.7549032257263,357.114323289398,-0.11472482957707757,-0.018384748600079305,23
2024-07-17,260.91927998584515,0.0,549.8740276309738,357.0939407503092,-0.12289882102189313,-0.10781823073281377,23
2024-07-25,181.58226780871325,0.0,458.2834344488854,357.0124105937084,0.027175566000824842,-0.49156860651541107,23
2024-08-09,218.81242017012164,0.0,495.5365883208891,356.85954155008204,0.1601121647211764,-0.5164974699406442,23
